Order,Land Use Code,Property Type Category,Property Type Detail
1,A1,Agricultural,Agricultural/Rural
2,A2,Agricultural,Farm
3,A3,Agricultural,Ranch
4,A4,Agricultural,Range Land
5,A5,Agricultural,"Crop Land, Fields or Row Crops"
6,A6,Agricultural,Orchard
7,A7,Agricultural,Vineyard
8,A8,Agricultural,Poultry Farm
9,A9,Agricultural,Dairy Farm
10,A10,Agricultural,Timberland or Forest
11,A11,Agricultural,Wildlife Refuge
12,A12,Agricultural,Desert or Barren Land
13,A13,Agricultural,Pasture or Meadow
14,A14,Agricultural,Miscellaneous Structures
15,A15,Agricultural,Grove
16,A16,Agricultural,Feedlots
17,A17,Agricultural,Livestock Parcel
18,A18,Agricultural,Horticulture or Growing Houses
19,A19,Agricultural,Well Site
20,A20,Agricultural,Truck Crops
21,A21,Agricultural,Resevoir or Water Supply
22,A22,Agricultural,Irrigation or Flood Control
23,A23,Agricultural,Natural Resources
24,A24,Agricultural,Rural Improved (Non-Residential)
25,A25,Agricultural,Cannibis Grow Facility
26,A26,Agricultural,Crops (In Ground)
27,A27,Agricultural,Crops (Harvested)
1,C1,Commercial,General
2,C2,Commercial,Retail Stores
3,C3,Commercial,Store (Multi-Story)
4,C4,Commercial,Store/Office
5,C5,Commercial,Department Store
6,C6,Commercial,Department Store (Multi-Story)
7,C7,Commercial,Grocery or Supermarket
8,C8,Commercial,Regional Shopping Center or Mall
9,C9,Commercial,"Community Shopping Center, Plaza or Mini-Mall"
10,C10,Commercial,"Neighborhood Shopping Center, Strip Mall or Enterprise Zone"
11,C11,Commercial,Shopping Center Common Area
12,C12,Commercial,Veterinary Clinic or Animal Hospital
13,C13,Commercial,Restaurant
14,C14,Commercial,Fast Food Restaurant or Drive-Through
15,C15,Commercial,Take-Out Restaurant
16,C16,Commercial,Bakery
17,C17,Commercial,Bar or Tavern
18,C18,Commercial,Liquor Store
19,C19,Commercial,Convenience Store
20,C20,Commercial,Convenience Store with Fuel Pump
21,C21,Commercial,Service Station
22,C22,Commercial,Service Station with Food Mart
23,C23,Commercial,Truck Stop
24,C24,Commercial,Vehicle Rental and Sales
25,C25,Commercial,Auto Repair or Garage
26,C26,Commercial,Car Wash
27,C27,Commercial,Dry Cleaner or Laundry Service
28,C28,Commercial,Service Shop
29,C29,Commercial,"Florist, Nursery or Greenhouse"
30,C30,Commercial,Wholesale Outlet or Discount Store
31,C31,Commercial,"Retail Printer or Delivery Service (e.g. UPS, Fedex)"
32,C32,Commercial,Mini-Warehouse or Self-Storage
33,C33,Commercial,Day Care or Preschool Facility
34,C34,Commercial,Motel
35,C35,Commercial,Hotel
36,C36,Commercial,Parking Garage or Structure
37,C37,Commercial,Parking Lot
38,C38,Commercial,Funeral Home or Mortuary
39,C39,Commercial,Casino
40,C40,Commercial,Hotel Resort
41,C41,Commercial,Hotel/Motel
42,C42,Commercial,Gas Station
43,C43,Commercial,Retail/Residential (Mixed Use)
44,C44,Commercial,"Commercial Building, Mail Order Showroom or Commercial Warehouse"
45,C45,Commercial,Commercial/Office/Residential (Mixed Use)
46,C46,Commercial,Appliance Store
47,C47,Commercial,Kennel
48,C48,Commercial,Laundromat
49,C49,Commercial,Nightclub or Cocktail Lounge
50,C50,Commercial,Farm Supply and Equipment (Retail)
51,C51,Commercial,Home Improvement Center
52,C52,Commercial,Commercial Condominium (Not Offices)
53,C53,Commercial,Drug Store or Pharmacy
54,C54,Commercial,Bed & Breakfast
55,C55,Commercial,Barber or Hair Salon
56,C56,Commercial,Roadside Market
57,C57,Commercial,Automated Car Wash
58,C58,Commercial,Self-Serve Car Wash
59,C59,Commercial,Cannibis Dispensary
60,C60,Commercial,Vacant Land
61,C61,Commercial,Miscellaneous Commerical Multi-Parcel
62,C62,Commercial,Miscellaneous Commercial
63,C63,Commercial,Store or Retail Outlet
64,C64,Commercial,Pet Boarding and Grooming
1,E1,Exempt,Full or Partial
2,E2,Exempt,Native American Lands
3,E3,Exempt,Institutional (General)
4,E4,Exempt,"Religious, Church, Worship"
5,E5,Exempt,Parochial or Private School
6,E6,Exempt,"College, University or Vocational School"
7,E7,Exempt,Private Hospital
9,E9,Exempt,"Retirement, Nursing or Convalescent Home"
10,E10,Exempt,Children's Home or Orphanage
11,E11,Exempt,Cemetery
12,E12,Exempt,Crematorium or Mortuary
13,E13,Exempt,Charitable or Fraternal Organization
14,E14,Exempt,"Recreational Non-Taxable (Camps, Boy/Girl Scouts)"
15,E15,Exempt,Private Utility
16,E16,Exempt,Governmental or Public Use
17,E17,Exempt,Military
18,E18,Exempt,Forest
19,E19,Exempt,Public School
20,E20,Exempt,Public College or University
21,E21,Exempt,Post Office
22,E22,Exempt,Cultural or Historical
23,E23,Exempt,Government Administrative Office
24,E24,Exempt,Emergency
25,E25,Exempt,Other Exempt Property
26,E26,Exempt,"City, Municipal, Town or Village Owned"
27,E27,Exempt,County Owned
28,E28,Exempt,State Owned
29,E29,Exempt,Federal Property
30,E30,Exempt,Public Health Care Facility
31,E31,Exempt,Community Center
32,E32,Exempt,Public Utility
33,E33,Exempt,"Welfare, Social Service or Low Income Housing"
34,E34,Exempt,"Correctional Facility, Jail, Prison or Insane Asylum"
35,E35,Exempt,Public Hospital
36,E36,Exempt,Private Historical
37,E37,Exempt,Historical Residence
38,E38,Exempt,Historical Retail
39,E39,Exempt,Historical Transient Lodging
40,E40,Exempt,Historical Park or Site
41,E41,Exempt,Historical District
42,E42,Exempt,Historical Office
43,E43,Exempt,Historical Recreation or Entertainment
44,E44,Exempt,Historical Warehouse
45,E45,Exempt,Exempt Full or Partial
46,E46,Exempt,Medical Clinic
1,I1,Industrial,General
2,I2,Industrial,Light Manufacturing
3,I3,Industrial,Light Industrial
4,I4,Industrial,Warehouse (Industrial)
